City,District,Latitude,Longitude
Madrid,Barrio de Salamanca,40.425.679,3.682.639
Madrid,Chamartin,40.446.811,3.671.400
Madrid,Chamberi,40.443.635,3.704.918
Madrid,Centro,40.424.251,3.699.313
Madrid,Arganzuela,40.406.285,3.712.202
Madrid,Barrio de Salamanca,40.439.569,3.682.720
Madrid,Retiro,40.408.741,3.666.898
Madrid,Moncloa - Aravaca,40.428.730,3.720.301
Madrid,Barrio de Salamanca,40.416.357,3.677.816
Madrid,Chamberi,40.433.827,3.696.045
Madrid,Latina,40.412.465,3.743.614
Madrid,Centro,40.409.967,3.702.313
Madrid,Moncloa - Aravaca,40.418.996,3.708.344
Madrid,Retiro,40.413.522,3.694.928
Madrid,Chamberi,40.431.813,3.708.891
Madrid,Chamartin,40.461.695,3.673.496
Madrid,Ciudad Lineal,40.428.012,3.642.818
Madrid,Puente de Vallecas,40.382.754,3.654.541
Madrid,Carabanchel,40.395.483,3.727.264
Madrid,Tetuan,40.456.973,3.695.492
Madrid,Villaverde,40.346.772,3.699.913
Madrid,San Blas,40.443.400,3.573.481
Madrid,Moncloa - Aravaca,40.457.792,3.780.869
Madrid,Latina,40.385.728,3.795.194
Madrid,Carabanchel,40.383.235,3.734.275
Madrid,Usera,40.382.141,3.704.247
Madrid,Ciudad Lineal,40.443.217,3.640.641
Madrid,Barrio de Salamanca,40.434.934,3.666.914
Madrid,Fuencarral - El Pardo,40.477.100,3.700.859
Madrid,Moratalaz,40.407.822,3.640.664
Madrid,Vicalvaro,40.372.767,3.641.969
Madrid,Ciudad Lineal,40.415.061,3.598.969
Madrid,Hortaleza,40.475.215,3.647.421
Madrid,Fuencarral - El Pardo,40.493.561,3.690.805
Madrid,Fuencarral - El Pardo,40.489.359,3.732.658
Madrid,Chamartin,40.477.005,3.679.625
Madrid,San Blas,40.432.501,3.619.307
Madrid,Puente de Vallecas,40.393.910,3.649.211
Madrid,Moncloa - Aravaca,40.462.942,3.706.807
Madrid,Moncloa - Aravaca,40.451.400,3.722.125
Madrid,Usera,40.358.831,3.703.611
Madrid,Barajas,40.475.687,3.558.058
Madrid,Hortaleza,40.460.786,3.639.429
Madrid,Latina,40.366.201,3.793.980
Madrid,Arganzuela,40.400.551,3.685.684
Madrid,Tetuan,40.471.649,3.686.918
Madrid,Latina,40.389.034,3.751.355
Madrid,Fuencarral - El Pardo,40.537.162,3.830.515
Madrid,Fuencarral - El Pardo,40.525.701,3.702.570
Madrid,Hortaleza,40.499.410,3.670.783
Madrid,Villa de Vallecas,40.347.745,3.608.215
Madrid,Vicalvaro,40.401.194,3.537.998
Madrid,Puente de Vallecas,40.373.993,3.671.633
Madrid,Latina,40.364.038,3.764.758
Madrid,Hortaleza,40.494.186,3.615.140
